	ResponseId	MainBranch	Employment	Country	US_State	UK_Country	EdLevel	Age1stCode	LearnCode	YearsCode	YearsCodePro	DevType	OrgSize	Currency	CompTotal	CompFreq	LanguageHaveWorkedWith	LanguageWantToWorkWith	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	PlatformHaveWorkedWith	PlatformWantToWorkWith	WebframeHaveWorkedWith	WebframeWantToWorkWith	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	OpSys	NEWStuck	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOComm	NEWOtherComms	Age	Gender	Trans	Sexuality	Ethnicity	Accessibility	MentalHealth	SurveyLength	SurveyEase	ConvertedCompYearly
36971	36972	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification	1	1	Developer, front-end;Developer, QA or test	10,000 or more employees	"PKR	Pakistani rupee"		Monthly	C;C#;C++;Dart;HTML/CSS;JavaScript;Kotlin;Python;TypeScript	C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PowerShell;Python;TypeScript	MongoDB;MySQL	MongoDB;MySQL	Microsoft Azure	Microsoft Azure	Angular;Angular.js;Express;FastAPI;jQuery;React.js	Angular;Angular.js;Express;FastAPI;jQuery;React.js	Flutter;React Native	Flutter;React Native	Git	Git	Android Studio;Visual Studio;Visual Studio Code	Android Studio;Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Google it	Stack Overflow	Daily or almost daily	Yes	Daily or almost daily	Yes, definitely	No	18-24 years old	Man;Woman				None of the above	None of the above	Appropriate in length	Easy	
36990	36991	I am not primarily a developer, but I write code sometimes as part of my work	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	School	10	8	Database administrator;Data or business analyst;Product manager	10,000 or more employees	"PKR	Pakistani rupee"			C#;SQL	C#;SQL	Microsoft SQL Server	Microsoft SQL Server					.NET Framework;.NET Core / .NET 5	.NET Framework;.NET Core / .NET 5	Git	Git	Visual Studio;Visual Studio Code	Visual Studio;Visual Studio Code	Windows	Call a coworker or friend;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat	No	35-44 years old	Man	No	Straight / Heterosexual	Middle Eastern	None of the above	None of the above	Too long	Neither easy nor difficult	
37115	37116	I code primarily as a hobby	Student, full-time	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);Online Courses or Certification	4							Assembly;Bash/Shell;C;C++;HTML/CSS;Java;PHP;PowerShell;Python;SQL	C;C++;Go;Java;Python;Rust	MariaDB	MariaDB					Qt	Qt	Git		Android Studio;NetBeans;Vim;Visual Studio Code	Android Studio;Visual Studio Code	Linux-based	Visit Stack Overflow;Google it;Do other work and come back later;Play games;Panic;Visit another developer community (please name):	Stack Overflow;Stack Exchange	A few times per week	No		No, not really	Yes	Under 18 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	I have an anxiety disorder	Appropriate in length	Easy	
37262	37263	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Online Courses or Certification	5	2	Developer, full-stack	10 to 19 employees	"PKR	Pakistani rupee"	40000.0	Monthly	HTML/CSS;JavaScript;PHP;SQL	HTML/CSS;JavaScript;PHP;SQL	MySQL	MySQL	Google Cloud Platform	Google Cloud Platform	jQuery;Laravel	jQuery;Laravel			Git	Git	Sublime Text	Sublime Text	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow	Multiple times per day	Yes	Multiple times per day	Yes, definitely	No	18-24 years old	Man			Southeast Asian	None of the above	None of the above	Appropriate in length	Easy	3108.0
37321	37322	I am not primarily a developer, but I write code sometimes as part of my work	Independent contractor, freelancer, or self-employed	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	18 - 24 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague	4	1	Developer, front-end;Student;Designer	Just me - I am a freelancer, sole proprietor, etc.	"USD	United States dollar"		Monthly	C++;HTML/CSS;JavaScript;PHP	HTML/CSS;JavaScript;PHP	Microsoft SQL Server;MySQL	Microsoft SQL Server;MySQL	Heroku;Microsoft Azure	Heroku	ASP.NET		React Native	Flutter;React Native	Git;Xamarin	Git	Android Studio;Eclipse;IntelliJ;Visual Studio;Visual Studio Code	Visual Studio;Visual Studio Code	Windows	Go for a walk or other physical activity;Google it;Do other work and come back later	Stack Overflow;Stack Exchange	A few times per week	Yes	A few times per month or weekly	Yes, somewhat	No	18-24 years old	Man	No	Prefer not to say	South Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	
37327	37328	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Books / Physical media	4	3	Developer, full-stack	20 to 99 employees	"PKR	Pakistani rupee"			HTML/CSS;JavaScript;Python;Ruby;SQL	Python;Ruby;TypeScript	PostgreSQL;SQLite	MongoDB;PostgreSQL	AWS	AWS	Angular.js;Django;jQuery;Ruby on Rails	React.js;Vue.js			Git;Yarn	Git	Eclipse;IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Visual Studio;Visual Studio Code	Atom;Sublime Text	MacOS	Visit Stack Overflow	Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	Daily or almost daily	Yes, definitely	No	18-24 years old	Man	No	Straight / Heterosexual	I don't know	None of the above	None of the above	Appropriate in length	Easy	
37363	37364	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	School;Online Forum;Online Courses or Certification;Books / Physical media	5	3	Developer, full-stack;Developer, back-end	20 to 99 employees	"PKR	Pakistani rupee"	75000.0	Monthly	HTML/CSS;JavaScript;PHP;SQL		MySQL				jQuery;Laravel	Vue.js			Git		Atom;NetBeans;PHPStorm;Visual Studio Code		Windows	Call a coworker or friend;Visit Stack Overflow;Google it	Stack Overflow	Multiple times per day	Yes	Less than once per month or monthly	Neutral	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	5832.0
37383	37384	I am a student who is learning to code	Not employed, but looking for work	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Other (please specify):;Books / Physical media	8		Data scientist or machine learning specialist					C;C++;HTML/CSS;Java;Python;SQL	HTML/CSS;Python;SQL	MySQL;SQLite	MySQL;PostgreSQL	AWS	AWS			Keras;NumPy;Pandas;Torch/PyTorch	Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch	Git	Git	IPython/Jupyter;Notepad++;PyCharm;Vim;Visual Studio Code	IPython/Jupyter;Notepad++;PyCharm;Vim	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Less than once per month or monthly	Yes, somewhat	Yes	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
37506	37507	I am a student who is learning to code	Student, full-time	Pakistan			Some college/university study without earning a degree	11 - 17 years	Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media	3							C;C++;HTML/CSS;JavaScript;Python	Bash/Shell;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;Swift					React.js	Angular;Django;Flask;React.js			Git	Git	PyCharm;Sublime Text;Visual Studio Code	Android Studio;Sublime Text;Visual Studio Code;Xcode	MacOS	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later	I have never visited Stack Overflow or the Stack Exchange network					No	Under 18 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Too long	Easy	
37667	37668	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media	6	4	Developer, back-end	20 to 99 employees	"PKR	Pakistani rupee"	60000.0	Monthly	Java	Java;JavaScript;Kotlin;TypeScript	MySQL	Microsoft SQL Server;MongoDB;MySQL	AWS	AWS	React.js;Spring	Angular;Angular.js;React.js;Spring			Docker;Git	Docker;Git	Eclipse;IntelliJ;Visual Studio Code	Eclipse;IntelliJ;Visual Studio Code	Windows	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Panic	Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	Neutral	No	25-34 years old	Man	No		Southeast Asian;South Asian	None of the above	I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder	Too long	Neither easy nor difficult	4668.0
37866	37867	I am a student who is learning to code	Student, part-time	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification	4							C#;HTML/CSS;JavaScript;Node.js;PHP;TypeScript	C#;HTML/CSS;JavaScript;Node.js;PHP			DigitalOcean						Unity 3D	Unity 3D	Atom;Notepad++;PHPStorm;Sublime Text;Visual Studio;Visual Studio Code	PHPStorm;Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Daily or almost daily	Not sure/can't remember		Neutral	No	Under 18 years old	Man	No		I don't know	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	
38134	38135	I am a developer by profession	Not employed, but looking for work	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);School;Books / Physical media	11		Developer, full-stack;Developer, back-end					HTML/CSS;JavaScript;Node.js	Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript	MongoDB	MongoDB;MySQL;Redis	DigitalOcean	AWS;DigitalOcean	Express;React.js	Express;React.js			Git	Docker;Git	Neovim;Vim;Visual Studio Code	Neovim;Vim	MacOS	Visit Stack Overflow;Google it	Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	Yes, somewhat	Yes	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Too short	Easy	
38526	38527	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	25 - 34 years	Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague	9	5	Developer, full-stack	100 to 499 employees	"PKR	Pakistani rupee"	300000.0	Monthly	C#;HTML/CSS;JavaScript;Python;SQL	Go	Microsoft SQL Server;PostgreSQL;Redis	Cassandra;MongoDB	Microsoft Azure	AWS;DigitalOcean	Angular;ASP.NET;ASP.NET Core ;Django	React.js	.NET Core / .NET 5;Pandas	Qt	Docker;Git;Kubernetes	Ansible;Chef;Terraform	IntelliJ;PyCharm;Rider;Visual Studio;Visual Studio Code		Windows	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Yes, somewhat	No	25-34 years old	Man	No	Bisexual	East Asian	None of the above	None of the above	Appropriate in length	Easy	23352.0
38532	38533	I am a developer by profession	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	18 - 24 years	Online Forum;Colleague;Books / Physical media	10	15	Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Data or business analyst;Product manager		"PKR	Pakistani rupee"	120000.0	Monthly	Assembly;C;C#;COBOL;HTML/CSS;JavaScript;Node.js;Python;Scala	Python;R;Scala;TypeScript	Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite	Cassandra;Couchbase;Elasticsearch;Firebase;IBM DB2;Oracle;PostgreSQL			Angular;ASP.NET;ASP.NET Core ;Flask;jQuery	Angular;ASP.NET Core ;Django;FastAPI;Flask;Ruby on Rails;Vue.js	.NET Framework;.NET Core / .NET 5;Cordova;React Native	Apache Spark;Hadoop;Keras;NumPy;Pandas;React Native;Torch/PyTorch	Docker;Kubernetes	Ansible;Chef;Docker;Kubernetes;Yarn	Atom;IPython/Jupyter;NetBeans;Notepad++;PyCharm;RStudio;Sublime Text;Visual Studio	Android Studio;RStudio;RubyMine;Webstorm;Xcode	Windows	Google it	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat	No	35-44 years old	Man	No	Prefer not to say	South Asian	None of the above	None of the above	Too long	Neither easy nor difficult	9336.0
38554	38555	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification	6	2	Engineer, data;Other (please specify):;Scientist	10,000 or more employees	"PKR	Pakistani rupee"	150000.0	Monthly	C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;PHP;Scala;SQL	Python;Scala;SQL	Firebase;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite	Cassandra;Couchbase;DynamoDB;Elasticsearch;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis	AWS;Google Cloud Platform	AWS;Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure	ASP.NET;ASP.NET Core ;Flask;jQuery;Spring		.NET Framework;Apache Spark;Flutter;Hadoop;NumPy;Pandas;TensorFlow	Apache Spark;Hadoop;NumPy;Pandas	Docker;Flow;Git;Kubernetes;Unity 3D;Yarn	Git;Kubernetes;Yarn	Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code	Eclipse;IntelliJ;IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code	Windows	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games	Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	A few times per month or weekly	Yes, definitely	Yes	25-34 years old	Man	No	Straight / Heterosexual	East Asian	None of the above	None of the above	Appropriate in length	Easy	11676.0
38867	38868	I am a student who is learning to code	Not employed, but looking for work	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	18 - 24 years	Books / Physical media	Less than 1 year		Student																			Windows	Google it;Watch help / tutorial videos;Panic	I have never visited Stack Overflow or the Stack Exchange network					No	25-34 years old	Woman	No	Straight / Heterosexual	Middle Eastern;East Asian	None of the above	I have an anxiety disorder	Appropriate in length	Easy	
38929	38930	I code primarily as a hobby	Not employed, but looking for work	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague	2		Other (please specify):					HTML/CSS;Python	Bash/Shell;JavaScript;Python	SQLite	MongoDB;MySQL	Heroku	AWS	Flask	Django;Flask	NumPy;Pandas	NumPy;Pandas;TensorFlow	Git	Git	IPython/Jupyter;PyCharm;Visual Studio Code	IPython/Jupyter;Visual Studio Code	Windows	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	A few times per month or weekly	Yes, definitely	No	25-34 years old	Man	Prefer not to say	Prefer not to say	South Asian	None of the above	None of the above	Too long	Difficult	
38933	38934	I am a developer by profession	Independent contractor, freelancer, or self-employed	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification	6	3	Developer, front-end;Developer, full-stack;Student;Educator	Just me - I am a freelancer, sole proprietor, etc.	"PKR	Pakistani rupee"	70000.0	Monthly	C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript	C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript	MySQL;PostgreSQL	Firebase;MariaDB;MongoDB	Google Cloud Platform	AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure	jQuery	Angular;Express;jQuery;React.js					Android Studio;Eclipse;NetBeans;Notepad++;Visual Studio;Visual Studio Code	Android Studio;Visual Studio;Visual Studio Code;Xcode	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	A few times per week	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat	Yes	18-24 years old	Man	No		South Asian	None of the above	None of the above	Appropriate in length	Easy	5448.0
39431	39432	I am a student who is learning to code	Not employed, and not looking for work	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	11 - 17 years	Friend or family member	3							JavaScript	Node.js;Python			Microsoft Azure		React.js	Angular.js	React Native		Git		Visual Studio Code		MacOS	Watch help / tutorial videos	Stack Overflow;Stack Exchange	Less than once per month or monthly	Yes	I have never participated in Q&A on Stack Overflow	No, not really	No	Under 18 years old	Woman	No	Prefer not to say	I don't know	None of the above	None of the above	Too long	Neither easy nor difficult	
39507	39508	I am a student who is learning to code	Student, full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other (please specify):;Books / Physical media	2							Python	Java											PyCharm	Android Studio	Windows	Google it;Watch help / tutorial videos	Stack Overflow	Daily or almost daily	Yes	A few times per week	Yes, definitely	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
39529	39530	I am a student who is learning to code	Student, full-time	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	5 - 10 years	Other online resources (ex: videos, blogs, etc)	2							C#;JavaScript;Python;TypeScript	C++;Rust;TypeScript					React.js;Svelte	ASP.NET Core ;Express			Git;Unity 3D;Yarn	Git;Unreal Engine;Yarn	Visual Studio Code	Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow	A few times per week	No		Not sure	Yes	Under 18 years old	Man	No	Straight / Heterosexual	Southeast Asian;South Asian	None of the above	None of the above	Appropriate in length	Easy	
39577	39578	I am a student who is learning to code	Not employed, but looking for work	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc)	2		Developer, front-end;Developer, full-stack;Developer, back-end;Student;Designer;Educator					Python	C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL	MySQL	MySQL			Django	Angular;Angular.js;Django;Flask;jQuery;React.js	NumPy;Pandas;TensorFlow	.NET Framework;.NET Core / .NET 5;NumPy;Pandas;TensorFlow			PyCharm;Sublime Text;Visual Studio Code	PyCharm;Sublime Text;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos;Other (please specify):	Stack Overflow	Multiple times per day	Yes	Multiple times per day	Yes, definitely	Yes	18-24 years old	Man	No	Bisexual		None of the above	None of the above	Appropriate in length	Easy	
39692	39693	I am a developer by profession	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	18 - 24 years	Coding Bootcamp;Online Courses or Certification	3	Less than 1 year	Developer, front-end	500 to 999 employees	"PKR	Pakistani rupee"	60000.0	Monthly	HTML/CSS;JavaScript;Node.js;SQL;TypeScript	HTML/CSS;JavaScript;Python	MongoDB;PostgreSQL				React.js	React.js	React Native	React Native	Git;Yarn	Git;Yarn	Visual Studio Code	Visual Studio Code	MacOS	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic	Stack Overflow;Stack Exchange	A few times per week	Not sure/can't remember		Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above		Appropriate in length	Easy	4668.0
39735	39736	I am not primarily a developer, but I write code sometimes as part of my work	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Coding Bootcamp;School;Online Courses or Certification;Books / Physical media	5	1	Developer, embedded applications or devices;DevOps specialist;System administrator	20 to 99 employees	"PKR	Pakistani rupee"	55000.0	Monthly	Bash/Shell;C;C#;Python;Rust	Bash/Shell;C;Python	MariaDB;Microsoft SQL Server;MySQL;SQLite	MongoDB			ASP.NET;Django;jQuery		.NET Framework;NumPy;Pandas		Docker;Git	Docker;Git	Android Studio;IntelliJ;IPython/Jupyter;Notepad++;PyCharm;RStudio;Sublime Text;Vim;Visual Studio;Visual Studio Code	PyCharm;Sublime Text;Vim;Visual Studio Code	Linux-based	Go for a walk or other physical activity;Google it	Stack Overflow	Daily or almost daily	Yes	A few times per month or weekly	Yes, definitely	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Too long	Neither easy nor difficult	4284.0
39764	39765	I am a student who is learning to code	Not employed, but looking for work	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Books / Physical media	Less than 1 year		Student					Python	HTML/CSS;Java;JavaScript	SQLite	MySQL			Django	Flask;React.js;Ruby on Rails	NumPy;Pandas	TensorFlow			IPython/Jupyter;PyCharm;Visual Studio Code		Windows	Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games	I have never visited Stack Overflow or the Stack Exchange network					No	Under 18 years old	Man	No		Southeast Asian	None of the above	None of the above	Appropriate in length	Easy	
39902	39903	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Colleague	7	1	Developer, back-end;Developer, QA or test;DevOps specialist	10 to 19 employees	"PKR	Pakistani rupee"	70000.0	Monthly	Assembly;Bash/Shell;C#;C++;HTML/CSS;JavaScript;Matlab;PHP;Python;R;SQL	Java;Node.js;Ruby;TypeScript	Microsoft SQL Server;MySQL;SQLite	MariaDB;MongoDB;PostgreSQL	AWS;Google Cloud Platform	IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure	ASP.NET;ASP.NET Core ;jQuery;Symfony	Angular;Flask;Laravel;React.js;Ruby on Rails;Vue.js	.NET Framework;Qt	Hadoop;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch	Docker;Git		Android Studio;Eclipse;IntelliJ;IPython/Jupyter;Notepad++;PHPStorm;PyCharm;Sublime Text;Visual Studio;Visual Studio Code	Xcode	Windows Subsystem for Linux (WSL)	Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Panic	Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	Less than once per month or monthly	Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	Or, in your own words:	None of the above	I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder	Too long	Easy	5448.0
40022	40023	I am a developer by profession	Independent contractor, freelancer, or self-employed	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	11 - 17 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media	1	Less than 1 year	Developer, front-end;Developer, full-stack;Developer, back-end	2 to 9 employees	"GBP	Pound sterling"	300.0	Monthly	HTML/CSS;JavaScript;Node.js	PHP;Python;SQL;TypeScript	Firebase;MongoDB	Firebase;MongoDB;MySQL;Redis	Google Cloud Platform	AWS;Heroku;Microsoft Azure	Express;React.js	Express;Flask;React.js			Git	Docker;Git;Kubernetes	Visual Studio Code	Visual Studio Code	Linux-based	Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Panic;Visit another developer community (please name):	Stack Overflow	Daily or almost daily	No		Neutral	Yes	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	Or, in your own words:	Appropriate in length	Easy	4656.0
40133	40134	I am a developer by profession	Not employed, but looking for work	Pakistan			Some college/university study without earning a degree	11 - 17 years	Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media	6		Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Academic researcher;Database administrator;DevOps specialist;Designer;System administrator;Product manager					Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript	Dart;Go;HTML/CSS;Java;JavaScript;Node.js;Objective-C;Rust;TypeScript	DynamoDB;Firebase;MongoDB;MySQL	DynamoDB;Firebase;MongoDB;MySQL	AWS;DigitalOcean;Google Cloud Platform;Heroku	AWS;DigitalOcean;Google Cloud Platform;Heroku	Angular;Angular.js;Express;jQuery;React.js;Vue.js	Angular;React.js	.NET Framework;.NET Core / .NET 5;React Native	Flutter;React Native;TensorFlow	Git;Yarn	Deno;Docker;Git;Kubernetes;Unity 3D;Unreal Engine;Yarn	Android Studio;Visual Studio;Visual Studio Code	Visual Studio;Visual Studio Code	Windows Subsystem for Linux (WSL)	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later	Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Yes, definitely	No	18-24 years old	Man	No	Straight / Heterosexual	Southeast Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	
40572	40573	I am a student who is learning to code	Student, full-time	Pakistan			Some college/university study without earning a degree	18 - 24 years	Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Books / Physical media	3							C;C++;HTML/CSS;Java;JavaScript;Python	C++;HTML/CSS;JavaScript;Node.js;Python;TypeScript	Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;SQLite	MongoDB;PostgreSQL;Redis			React.js	Django;Express;React.js	Keras;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch	Hadoop;Keras;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch	Docker;Git;Unity 3D	Docker;Git;Kubernetes	Eclipse;Sublime Text;Visual Studio;Visual Studio Code	Visual Studio Code	Windows	Google it	Stack Overflow;Stack Exchange	A few times per week	Yes	A few times per week	Yes, definitely	Yes	18-24 years old	Man	No	Straight / Heterosexual				Too long	Easy	
40580	40581	I am a student who is learning to code	Student, full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media	3							Dart;Python;SQL	Dart;JavaScript;Python;SQL;TypeScript	Firebase;Microsoft SQL Server;SQLite	Firebase;MongoDB;SQLite	Google Cloud Platform	AWS;DigitalOcean;Google Cloud Platform			Flutter	Flutter;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch	Git	Docker;Git	Android Studio;Atom;IntelliJ;PyCharm;Visual Studio Code;Xcode	Android Studio;Visual Studio Code	MacOS	Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow	A few times per week	Yes	A few times per month or weekly	Yes, definitely	Yes	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
